text	label
icloud set up was flawless and works like a champ ! to the cloud AT_USER	positive
AT_USER AT_USER i 'd totally email the company ... i always get great service at our AT_USER store !	positive
AT_USER loving the new ios5 upgrade for the iphone !	positive
once again getting great customer service from the AT_USER store at millenia mall .	positive
is it just me or is ios5 faster for the ipad ? AT_USER	positive
making the switch from AT_USER to AT_USER iphone iphone4s smartphone stevejobs ( @ apple store ) URL	positive
so thankful for the incredible people AT_USER for going above and beyond and offering to and replacing my water-damaged macbook pro ! ! ! wow !	positive
play on ma man . loving the camera in the iphone4s . well done AT_USER fb URL	positive
so yeah ... AT_USER ios5 readinglists have changed my life . nowicanspendevenmoretimeonmyphone .	positive
AT_USER safari reader owns the worldwide web	positive
i love AT_USER service . my case has cracked 3x and i go in and they hand me a case and i walk out	positive
said to have laid out the next 4 years AT_USER last iphone is 2012 not the iphone4s . iphone ( 4g/5 ) 2012 is magical ! URL	positive
kind of excited . on my way to my last class right now and then going to the AT_USER store , so buy macosc snow leopard and lion : - )	positive
i used to be with AT_USER over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to AT_USER iphone	positive
apple sells 4 million iphones in 3 days AT_USER keep doing what you are doing , because you are doing it well ! URL	positive
4 millions in a weekend , 16 iphone4s per second . this is madness ? ! no , this is AT_USER ! ! !	positive
.AT_USER you got me . i 'm now invested . macbook pro next year . time to get on selling more of my android gear	positive
i just sent my grandma a post card using my cardsapp thanks AT_USER	positive
AT_USER AT_USER putting it in the wash is kind of the equivalent to `` will it blend ? '' glad to hear it 's still alive .	positive
god bless AT_USER AT_USER for appletv & our bad ass system . loving princessofchina . gb to AT_USER & AT_USER too : )	positive
been off twitter for a few days as i smashed my iphone but AT_USER were very nice and gave me a new one : )	positive
thank you AT_USER ios 5 for email pop up on the lock screen and opening it when unlocking .	positive
one word - wow . rt AT_USER iphone 4s first weekend sales top four million : URL ( via AT_USER	positive
rt AT_USER love ios5 easter eggs . pull down from middle top to bottom and see what pulls down . awesome little feature ! ios5 AT_USER	positive
love ios5 easter eggs . pull down from middle top to bottom and see what pulls down . awesome little feature ! ios5 AT_USER	positive
love ios5 easter eggs . pull down from middle top to bottom and see what pulls down . awesome little feature ! AT_USER lovemyiphone	positive
gone for a run , beautiful morning , man do i love ios 5 AT_USER iphone	positive
AT_USER your simply the best .	positive
i must admit AT_USER has made me a very happy camper ! i have text tones now ! lol ! ring tone : makemeproud drakes vers ! text tone : nicki 's	positive
day305 , i 'm thankful for the great customer service received today from AT_USER via phone cs , new phone on the way 365daysofgratefulness	positive
loving the new ipod update AT_USER	positive
AT_USER my wife upgraded her iphone 4. i think siri alone is worth the upgrade . looking forward to AT_USER continuing to enhance siri .	positive
AT_USER being honored tonite AT_USER truly great loss to the world.he will so be missed	positive
thx AT_USER thx AT_USER hypo d-76 tri-x URL	positive
loving my new iphone4s thanks AT_USER for ios5	positive
AT_USER the iphone 4s is great genius	positive
AT_USER siri is amazing	positive
meet siri , your new iphone butler . click the link and be amazed by all it can do : URL AT_USER	positive
so , i am using my work pc ( never ever ) to get a feel for it ; it has the worst speakers ever ! ! AT_USER you have spoiled me ! ! imamac	positive
i ♥ AT_USER URL	positive
AT_USER just got the new ios5 upgrade with imessage ... good luck surviving now AT_USER	positive
loving ios5 ! ! awesome AT_USER	positive
rt AT_USER AT_USER you were right , an iphone is a must have . addicted { welcome to the AT_USER club }	positive
AT_USER siri is witchcraft . what 's next AT_USER 2 yr lead lost ?	positive
AT_USER ios 5 is sweet ! notifications , phone search covers mail now , wifi sync , icloud backup and integrated twitter are all well done .	positive
rt AT_USER another great james stewart story in today 's ny times about importance of architecture in AT_USER retail success URL ...	positive
another great james stewart story in today 's ny times about importance of architecture in AT_USER retail success URL	positive
welcome to the twitter world AT_USER this is due to ios5 and AT_USER thanks guys .	positive
impressive service AT_USER genius bar metro centre . power cable replaced free n booked in for screen replacement for free : - d	positive
rt AT_USER the nice guy at the AT_USER store replaced my phone gratis when i showed him the hairline crack on the screen . thanks AT_USER	positive
the nice guy at the AT_USER store replaced my phone gratis when i showed him the hairline crack on the screen . thanks AT_USER	positive
my iphone 4s battery lasted longer than a day . that has n't happened since my edge iphone . nice job , AT_USER	positive
it would have taken me 15 mins to write this with my blackberry . thank u AT_USER 4s for converting me and showing me the grass is greener !	positive
rt AT_USER AT_USER got a new backside for my eye phone ! v impressed with AT_USER	positive
AT_USER got a new backside for my eye phone ! v impressed with AT_USER	positive
iphone 4s in space URL this is amazing creative AT_USER your products inspire people to do unbelievable things	positive
thank you AT_USER for making my ipad 2 feel like new again with your new ios 5 !	positive
using my awsome ipad ... i love it . i love my macbook too and my ipod . it 's all amazing ! i love AT_USER	positive
AT_USER ios 5 upgrade done ... ... much better feature ... .. few more feature required	positive
new ios 5 update is the best . iloveyou AT_USER	positive
finally got my iphone 4s , thanks AT_USER stupid AT_USER learned my lesson .	positive
i absolutely love my iphone 4s . thank you , steve and AT_USER	positive
AT_USER - you have invented a product that actually gets my brother to call my parents when he gets where he 's going . amazing . siri ipod4s	positive
dammit , listening to siri is making me want to upgrade . well played AT_USER	positive
create new folders from within your photo album in ios5 , finally ! ! thanks AT_USER that 's been a thorn in my side for a while . newfeature	positive
AT_USER & AT_USER u r really about to make me throw this AT_USER in the trash an get an AT_USER iphone ! AT_USER upload issues !	positive
ios5 update submitted to AT_USER thanks for all the support !	positive
awesome service from the AT_USER store in pc . thanks chris !	positive
i am crazy about ios5 . the photo cropping is the best ! AT_USER	positive
.AT_USER thanks for fixing this ... URL	positive
AT_USER has changed life .	positive
mad props to the AT_USER employee that did n't charge me to replace the back plate on my iphone ! made my day !	positive
the iphone4s is amazing . siri 's voice recognition is absolutely a step above previous attempts . bravo AT_USER	positive
ios5 is nice and as it had to be ! thanks AT_USER	positive
good support fm kevin AT_USER bellevue store 4 biz customers ty !	positive
wow i am loving this new AT_USER update for my touch . coolness well done	positive
AT_USER siri is amazing ! ! ! i 'm in love !	positive
love love love ios 5 ! ! AT_USER	positive
rt AT_USER so apparently AT_USER put mb cap on your sms with the new update . 25mb storage before it tells you your inbox is full . w ...	negative
rt AT_USER AT_USER AT_USER iphones r 2 expensive . most went w/ htc/galaxy . no customer loyalty w/phone comp..	negative
AT_USER AT_USER iphones r 2 expensive . most went w/ htc/galaxy . no customer loyalty w/phone comp..	negative
AT_USER why my tunes no go on my iphone ? iphone lonely without them . silly ios5	negative
AT_USER needs to hurry up and release itunesmatch	negative
why is siri always down AT_USER	negative
i just need to exchange a cord at the apple store why do i have to wait for a genius ? AT_USER	negative
AT_USER airdrop fail - immediate `` declined your request . '' every time	negative
yellowgate ? some iphone 4s users complain of yellow tint to screen URL AT_USER AT_USER	negative
the one iphone feature still missing since AT_USER first showed it.. contacts pictures on the contacts list ! simple yet 5 major updates miss	negative
asked siri is she dreams of electric sleep . was disappointed that she did n't have a snippy answer . missed opportunity AT_USER	negative
fuck you AT_USER die in a fucking blaze inferno .	negative
oh , AT_USER steve obviously had nothing to do with iphoto , as it 's the perfect opposite of 'insanely great ' . get it fixed , please .	negative
shit , shit , shit . ios5 update ate all my apps , data and media just like AT_USER said it would . this is going to take some time to rebuild .	negative
. AT_USER & AT_USER u can not tell me there is n't at least 1 64gb iphone 4s in la or vegas ! ! give me a fucking break ! ! ! !	negative
love AT_USER downloads . 4 hours and i-pad now wonky ! ripstevejobs thenonsensepersists neednewipadguide fatfuckingchance	negative
dear AT_USER my new air is now a notbook since your update killed wifi bug destroying productivity	negative
i am so done with AT_USER and AT_USER 's profitering and lack of customer service , so fucking down with both ! ! !	negative
AT_USER thank you for ruining my 3gs with ios5 . you 've just turned my phone into an utterly useless pile of shit .	negative
AT_USER no but i have the option of a replacement iphone 4s ? not sure if i want one after having 2 duff iphones . AT_USER AT_USER AT_USER	negative
so apparently AT_USER put mb cap on your sms with the new update . 25mb storage before it tells you your inbox is full . what is this 2001 ?	negative
you know AT_USER it 's been almost a week since i paid for itunes match , i would really like to use it . any eta on a fix ?	negative
removing all AT_USER shit .	negative
so AT_USER 's iphone 4 is giving her a hella hard time w/ the ios5 update AT_USER	negative
AT_USER ca n't send me an iphone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em	negative
got ta say the AT_USER itouch iphone shuffle etc.. sound quality is awful.. painfully crap . its been a downgrade from AT_USER sound quality wise	negative
AT_USER AT_USER the upgrade just slows down my phone so much , it 's stuck half the time . uch . thankfully no other damage . sucks for you : (	negative
AT_USER i think AT_USER did n't do such a thorough job with the step x steps for upgrade and move to icloud . now it 's cost me mightily .	negative
hey AT_USER now i have ios5 my iphone does n't include songs that are on compilation albums under the artist 's name . whaddupwitdat	negative
AT_USER he can send but not rcve txts so he has an apt AT_USER at 4pm.then he exclaims : and i waited a whole year for this phone ! ! lmao	negative
total chaos at AT_USER store regent street . like an ethiopian feeding station . ca n't believe this is same co. that makes all that cool shit .	negative
AT_USER if you made a purchase , just wait for the AT_USER survey ! hate going b/c of the bad custserv	negative
correction : @ best buy kudos to chris @ alamo ranch s.a. tx-fixed issues could n't resolve after 1/2 day w/ AT_USER & AT_USER hero of my day !	negative
AT_USER AT_USER AT_USER that 's why all the ppl who stand in line for hrs to get the `` newest '' model are suckers ...	negative
would it kill AT_USER to put a braille type bump on their earbuds so we know which bud is r and l in the dark .	negative
AT_USER wow AT_USER just crushed your dreams ... .	negative
oh , just fuck you , AT_USER already ? ? -- - & gt ; iphone 5 on schedule for summer launch ? URL via AT_USER	negative
AT_USER no , i wo n't wait until thursday for an available appointment just so a 'genius ' can tell me i 'm shit out of luck . now	negative
AT_USER on the ipad with ios5 , why has the messages icon been included when it ca n't be used ?	negative
AT_USER yea ! i pre-order through AT_USER and they sorry too just like at & t	negative
interesting ... AT_USER now requires you to have a reservation ? apple iphone 4s : URL	negative
AT_USER why is my iphone battery so crappy fail	negative
my AT_USER AT_USER keyboard will not type : (	negative
why does n't AT_USER icloud sync stickies ? they 've always been around , just nothing every progressed w/ them ! ! why apple why ? AT_USER	negative
AT_USER your new `` save a version '' function in pages is absolutely the most awful , interrupting , counter-intuitive piece of crap in the world	negative
i hate my AT_USER computer . thats 3500 dollars down the drain .	negative
AT_USER my iphone is charging very slowly ! ! ! ! !	negative
AT_USER ios5 gm on ipad1 is very slow wash better on beta7/8 solve this problem , or give me the ipad2	negative
AT_USER wish i could pick month , day , and year when setting a new calendar item on my iphone . why has n't the new ios fixed this yet ? !	negative
AT_USER itunes is the worst program ever . for such a great phone , you make some awful software .	negative
one would think the voice recognition on the AT_USER tech support line would work a little better .	negative
AT_USER $ 319 to repair my ipad 2 , apple you 've lost me and my $ 700 a year , android here i come !	negative
AT_USER AT_USER AT_USER proper consolidation , proper syncing , stop losing my purchased items , checkboxes that do what you think they will do .	negative
AT_USER AT_USER AT_USER the desktop app is wack though	negative
i made a reservation and yet i still have to wait in line . humpt ! oh AT_USER ( @ apple store w/ 2 others ) URL	negative
dear AT_USER i had to turn off all those awesome featured you just enabled . data plan ca n't handle it . 200 mb of data just because #	negative
dontbemadatmebecause android is by far better than AT_USER	negative
AT_USER is there a problem with ios 5 that is preventing audio apps and audio functions from operating properly ? i keep losing sound .	negative
AT_USER apple one thing i hater about this mouse the buttery finish so fast am not happy now macworld AT_USER URL	negative
hey AT_USER stop sending your automatically-depreciate-all-iphones-older-than-the-4s signal . my iphone4 is dying rapidly processor-wise .	negative
only thing bad about the new AT_USER camera is that it has two compact flash cards ... not one of sd . sd goes in my AT_USER computer . damn you !	negative
wtf AT_USER 64 pages for the new terms & conditions when u update ur apps from the itunes store . do u really think we 'll read em ? really ? ? ?	negative
fuck u AT_USER	negative
oh and prolly ganna be late to work bc AT_USER has screwed me and my phone has my only alarm on it	negative
why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of AT_USER	negative
. if u need me just text me o wait u i wont get it cuz AT_USER fucks me every time fuckingpissed	negative
like AT_USER da fuck is this shit ? URL	negative
rt AT_USER i 'm wit chu ! ! “ AT_USER officially boycotting AT_USER calling AT_USER to curse them out next for using them wasting my t ...	negative
damn it AT_USER whatchu done to my phone ? ?	negative
samsung seeks iphone 4s ban in japan and australia patent war intensifies with injunction sought against AT_USER URL	negative
AT_USER why is it every time there is ios software update my ipad goes dead and i need to totally restore ? fail	negative
AT_USER ios.5 has been nothing but a pain in the ass no room for my music.. or photos.. or apps ! can i undo this garbage ? ?	negative
AT_USER the reservation system not working , shows no products avail let alone iphone 4s i had the site open in 3 browsers at 9 pm and nothing	negative
AT_USER remember AT_USER is evil . icloud entering the dropbox market	negative
i know a few others having same issue rt AT_USER 9 % now on my second full charge of the day . pissed AT_USER	negative
9 % now on my second full charge of the day . pissed AT_USER	negative
rt AT_USER AT_USER AT_USER AT_USER both of them are bs ! ! ! how do u tell me go between a certain time only and the muh fuh is closed !	negative
i 'm wit chu ! ! “ AT_USER officially boycotting AT_USER calling AT_USER to curse them out next for using them wasting my time ! ”	negative
itunes is AT_USER worst product . worse than the newton or the hockey puck mouse . it 's utterly painful to use .	negative
deár icloud i hate u , and i hope you die , you are the worst fucking invention in the world , fuck youuuuuuuuuuuu icloud AT_USER AT_USER	negative
i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account ... thanks AT_USER	negative
issues with updating itunes on my windows pc - they really are not compatible ... . sent more time talking to AT_USER care than using it ! !	negative
AT_USER u guys are gay	negative
restored my iphone . still no texts . dear AT_USER y no love , y restrictions on my sms ? y no texts ... . ios5 ios5atemydingo	negative
none of my apps work after the new ios from AT_USER what do i do ? ! ?	negative
seemingly endless loop of calls to AT_USER AT_USER AT_USER to investigate my missing iphone4s . crankywithnophone	negative
AT_USER AT_USER that 's terrible ! i hope you get an apology !	negative
AT_USER have been on the phone with AT_USER and AT_USER pretty much ever since then . really annoyed .	negative
AT_USER AT_USER i get they are busy w/ the new phone , but i just wanted to buy a stylus . they made me wait forever outside & never	negative
AT_USER AT_USER please deliver my daughter 's i4s , she is driving me nuts iphone	negative
hey AT_USER the sms full message is complete shit . yes , i 'm annoyed .	negative
have never had such poor customer service at AT_USER before ! what happened ? ( @ apple store w/ 2 others ) URL	negative
AT_USER your service experience is really fucking slipping ( except for cute , eyelash batting girlies ) . ( @ apple store ) URL	negative
what was AT_USER thinking making siri totally dependent on a network connection ? siri + AT_USER = utter frustration .	negative
wow the genius bar reservation line AT_USER is ridic right now - ___- i am not amused . ugh	negative
where is my iphone ! ? ! ? ! ? ! AT_USER	negative
AT_USER battery life suck on ios 5	negative
an apple update has seemed to render my work machine incapable of opening hdv video . thanks AT_USER zero useful productivity today .	negative
AT_USER i committed to your cloud storage idisk and now it 's raining : - ( so soon no more idisk . any plans for a new service for storage ?	negative
hey AT_USER why ca n't i share a reminder list from my iphone ? also why ca n't i login to the icloud webpage to modify sharing from my phone ?	negative
apparently fuzzball crashes on ios5 . congratulations AT_USER on another incompatible upgrade	negative
can someone plz explain to me whhyy AT_USER is only distributing 2-3 phones per day to the sprint stores . i 'm really ... URL	negative
gah . AT_USER ios 5 opens text messages painfully slow , on top of 3 restore attempts 2 succeed . early adopterness gets better of me .	negative
dear AT_USER why did all my pdfs and epub files disappear from ibooks in my iphone post ios5 upgrade ? this hurts . 3gs needsomethingtoread	negative
“ AT_USER lies AT_USER the battery on this new iphone4s is definitely not any better. ” & lt ; & lt ; check settings : 8 times more app usage in ios 5	negative
as a huge podcast fan - i really feel like AT_USER dropped the ball on this one . URL via AT_USER	negative
i do n't really like siri 's voice . perhaps AT_USER can get star wars voices just like AT_USER URL	negative
“ AT_USER i really hate dealing with the brain dead people at the AT_USER store . for such good products , customer service sucks. ” in nz ?	negative
i really hate dealing with the brain dead people at the AT_USER store . for such good products , customer service sucks .	negative
anyone else seeing missing signal bars on their iphone 3gs with an upgrade to ios5 ? cc/ AT_USER AT_USER AT_USER	negative
rt AT_USER lies AT_USER the battery on this new iphone4s is definitely not any better .	negative
updating to ios5 with my regular iphone4 just made it slower and messed up.. AT_USER give me a free 4s and we can call it even , thanks	negative
AT_USER if you want to know what customers think dont send updates with the `` noreply '' return address . who invented that anyway . useless	negative
every time i try the voice control on my ipod touch to send an imessage , it starts playing `` who knew '' by pink . still not flawless AT_USER	negative
ok hindi keyboard in ios5 is something to cheer about . but AT_USER what about support for 20+ missing indian languages ! ? fail	negative
rt AT_USER warning : if iphone apps spontaneously loose data , it might not be the app 's fault - URL ios5downgrade ...	negative
AT_USER ah ! yeah ... should be an option ... hopefully AT_USER figures that out . thx	negative
`` waiting for items to copy '' in itunes after everything did copy goes on , and on , and on . come on AT_USER what the hell ?	negative
AT_USER unhappy again with service/product quality . wo n't buy AT_USER again .	negative
lies AT_USER the battery on this new iphone4s is definitely not any better .	negative
“ AT_USER dear AT_USER why you got ta go change the way & lt ; input type= '' number '' & gt ; is handled out of the blue ? ”	negative
been on hold with AT_USER customer service for 25 minutes . wow , lt 's like they 're timewarnercable .	negative
anyone else stuck in duped calendar/mail/battery sucking AT_USER hell ? icloud and osx lion are a disappointment	negative
AT_USER you 're killing me . excited about ios5 no longer- tragic battery drain , genius bar wants to replace the battery . really ?	negative
1st impressions of ios5- disappointed w upgrade restore . lot of apps & folders missing AT_USER do how much time went in2 orging it ? fail	negative
AT_USER do n't question the AT_USER they will remember your dissent !	negative
AT_USER multiple times siri is `` having trouble connecting to the network . '' siri needs servers ( and some exercise ! )	negative
rt AT_USER if AT_USER does not resolve the siri network issues they will need to rename a great product to sorri - who else is havin ...	negative
dear AT_USER why you got ta go change the way & lt ; input type= '' number '' & gt ; is handled out of the blue ?	negative
ugh . wtf is up with all the bottlenecks AT_USER AT_USER	negative
+1 rt AT_USER AT_USER please fix siri ! ! ! ! she ca n't connect to your network ! ! ! ! ! ! !	negative
AT_USER please fix siri ! ! ! ! she ca n't connect to your network ! ! ! ! ! ! !	negative
if AT_USER does not resolve the siri network issues they will need to rename a great product to sorri - who else is having issues ?	negative
any chance AT_USER will release good headphones that dont blast music outside the ears ? iphone ipod its quite obnoxious	negative
AT_USER - siri is not working due to `` network problem '' ? seriously ? can you fix this ? iphone4s fail	negative
AT_USER it has to connect to AT_USER to process commands , which it is failing to do right now	negative
see AT_USER that what 's happen when you release iphone 4s with same crappy design as the old phone !	negative
this . rt AT_USER looks like AT_USER did not appropriately project the resources needed for siri . not very reliable	negative
looks like AT_USER did not appropriately project the resources needed for siri . not very reliable	negative
spoke to an AT_USER rep on phone & could hear her tv blaring in the bg . she said , `` i ca n't actually help u , just direct u back to the web ''	negative
what 's wrong with siri today AT_USER	negative
AT_USER siri is down !	negative
i 'm suspecting AT_USER timed the health-decline of my iphone 4 perfectly with the iphone 4s release ... my battery is seriously ailing .	negative
ok this AT_USER software update for the iphone is taking waaaaay too long ! annoyed	negative
AT_USER AT_USER hopefully it 's a small bug AT_USER must be fixing it . right apple } :0 ( itjustworks	negative
AT_USER AT_USER you do realise you 're just really pissing off the customer base as well as looking petty .	negative
AT_USER - why do i have to have apps i am updating in their original 'folder ' location ? that was painful .	negative
AT_USER domain fail . open 2 hrs late for walk in ppl . store was empty and i only need a skin 4 my screen . you represent customer service fail	negative
AT_USER AT_USER the chipsets tear through battery life . coworker has a htc thunderbolt that he gets about 3 hours of life .	negative
i wish the apple updater would stop trying to ram itunes down my throat . i do n't own a pissing iphone AT_USER	negative
is it me or does my iphone run slower since the ios 5 update ? AT_USER AT_USER	negative
just searching with my voice on my 2 year old nexus one AT_USER	negative
AT_USER your update server has been timing out for a week . i had to force a restore w/the new ios5 software . lost all my stuff . thanks !	negative
thanks to a 90 minute wait on hold , half an hour actually talking to someone , the AT_USER tech decides to send me an email to fix my phone	negative
i am very upset about and inconvenienced by this iphone update failed backup . AT_USER AT_USER	negative
but seriously AT_USER finance me a damn phone you greedy bastards ! or santa ... get your jolly ass in gear and get us a 4s - white plz	negative
my schedule is 2 busy 2 spend unquality time with AT_USER AT_USER 2 recover iphone again-the mo ' mobile i get the mo ' immobile i is . sync not !	negative
pondering the ios update ... from the sounds of AT_USER difficulties , i may just hold off : / AT_USER fix it !	negative
AT_USER AT_USER you know the issues they have with dst and alarms : p	negative
why book AT_USER genius bar if after 2.5 hours you still ca n't be served . disappointing apple store sydney . thanksfornothing	negative
apparently AT_USER genius training does n't extend to clocks & service . they 're half an hour late for my appointment and could n't let me know ?	negative
wow . icloud 's mail is down . 1st the ios 5 upgrade issues and now this . i really hope this is n't AT_USER without steve jobs .	negative
AT_USER why do n't you guys test your upgrades before you put them out . 15 1/2 hrs u guys wasted of my time yesterday . thanks .	negative
what is going on with all my AT_USER products ? ! first my ipad freezes ( still is frozen ) and then my iphone wo n't turn on ! ! ! techietroubles	negative
ipad in perpetual restore loop after trying to upgrade to ios5 : ( AT_USER sux without steve	negative
2nd AT_USER genius apptment running late 2nd day in row for 2nd dodgy ipod . you make mega $ $ $ hire some staff .	negative
it took AT_USER about 7 years just to figure out how to properly syncronize an iphone . wow ! ios5	negative
AT_USER so i went to the 5th ave store and was told i could wait about 4 hours to get a 4s . needless to say i 'm back at the hotel relaxing .	negative
terrible customer service at los gatos AT_USER why do i have to pay $ 199 for a bad home button on my iphone ? ! ?	negative
AT_USER thank you for sucking so much . i can not believe you would sell something online that is n't made	negative
dear AT_USER please send me my mac book back surely the repair is done by now ... thanks !	negative
AT_USER ios5 on iphone2 causes camera apperature dilation problems & freeze .	negative
AT_USER ios5 geolocation suburbs with 2 words drops map pins in other states ! please fix .	negative
sorry AT_USER but imessage will never be what bbm is . disappointed .	negative
AT_USER yeah except that when you ask for a receipt , it takes them 30 minutes to figure out where it printed out . fix that , AT_USER	negative
bummer ! my AT_USER ipad fantasy football app keeps crashing ; not sure if it 's the app or the new AT_USER ios 5. only two apps running .	negative
AT_USER can suck my dick got ta restore my ipad annoyed	negative
AT_USER man , that sux ! AT_USER io5 upgrade a total fail for you !	negative
dear AT_USER contacts , you are terrible . i just cleaned duplicates for 3 hours and they magically reappeared . fix it .	negative
pissed with whoever designs keyboards with AT_USER for not having a home and end key . working on the cli i use those keys often	negative
AT_USER AT_USER most of mine are gone too ! not recovered after i saved them b4 i upgraded my iphone ! soooo pissed !	negative
hey AT_USER do you wan na fix my fucking playlist order , you piece of shit	negative
siri is having a hard time remembering who my sister is . contact card needs space for family info . iphone4s AT_USER	negative
ios5 getting sloppy AT_USER u need to check your qa team . too many issues with apps , data and syncing	negative
rt AT_USER so this sms full message is known AT_USER issue with new ios5 update . trying restore . when all else fail - restore .	negative
not happy with AT_USER right now . the upgrade to my itouch4 took out my itouch and laptop . help	negative
AT_USER can you look at problem on ipad where it wo n't open @ messages . it just crashes the app . you too AT_USER maybe your fault .	negative
AT_USER what 's the point of icloud wireless updates when ios5 now forces me to use the computer to charge my ipod touch now ? worstupdateever	negative
AT_USER no worries bud , ps : they 're saying that the 4s is having a lot of network issues right now . ( i 'm AT_USER for mac problems )	negative
i hate you AT_USER for not sending toledo , oh AT_USER any AT_USER for AT_USER even after i pre ordered ! ! !	negative
why is the new AT_USER iphone os duplicating all my ical events ? there 's 2 of everything . how do i fix it ? ( tried turning icloud off )	negative
dear AT_USER how convenient/handy/thoughtful/smart that after iphone ios5 update you 're apps wo n't work anymore ! ( none ! ! ! ) : ( gr % \mbl^. % )	negative
hey AT_USER know steve jobs died & all but my twitter for ipad app keeps crashing ... fix it ... now..please..lol -f.light	negative
AT_USER not happy with apple today . i did the suggested software update and now nothing works ! ! !	negative
smashed yet another iphone screen . when are AT_USER gon na make the phone more durable ! ! ! tired of fixing it myself ! ! !	negative
i sure as hell better be able to restore my calendar events . terrible bug apple ! AT_USER icloud anothericloudfail	negative
i really hate that AT_USER wo n't let you hide the newsstand app or move it into a folder . it serves no purpose for me .	negative
life was much easier when AT_USER and AT_USER were just fruits !	negative
AT_USER no location reminders on ipad2 ! that was the point of updating to ios 5	negative
comparing AT_USER live with AT_USER apps and AT_USER icloud , i do not see icloud leading the crowd . do you agree ?	negative
rt AT_USER if AT_USER does n't fix ios5 this week , i 'm buying a droid emptythreats	negative
if AT_USER does n't fix ios5 this week , i 'm buying a droid emptythreats	negative
AT_USER pls launch siri on iphone4 .. disappointed after spending hours for upgrading to ios5..	negative
AT_USER you can suck it you and your fucking iphones better be glad it 's all i like cause the service is fucking terrible	negative
